year,publisher,GLOBAL_SALES
1980,Activision,3.02
1981,Activision,8.5
1982,Activision,1.86
1983,Activision,1.94
1984,Activision,0.27
1985,Activision,0.48
1987,Activision,1.12
1988,Activision,0.75
1989,Activision,0.47
1994,Activision,2.08
1995,Activision,4.21
1996,Activision,1.95
1997,Activision,2.55
1998,Activision,7.54
1999,Activision,7.57
2000,Activision,14.48
2001,Activision,18.59
2002,Activision,25.94
2003,Activision,21.38
2004,Activision,39.23
2005,Activision,35.39
2006,Activision,17.4
2007,Activision,60.2
2008,Activision,67.41
2009,Activision,75.32
2010,Activision,62.29
2011,Activision,51.74
2012,Activision,53.25
2013,Activision,43.49
2014,Activision,44.48
2015,Activision,35.63
2016,Activision,3.67
