year,publisher,GLOBAL_SALES
1992,Electronic Arts,0.06
1994,Electronic Arts,0.65
1995,Electronic Arts,3.33
1996,Electronic Arts,7.9
1997,Electronic Arts,22.94
1998,Electronic Arts,29.95
1999,Electronic Arts,20.15
2000,Electronic Arts,25.13
2001,Electronic Arts,45.12
2002,Electronic Arts,73.01
2003,Electronic Arts,69.83
2004,Electronic Arts,67.33
2005,Electronic Arts,67.01
2006,Electronic Arts,58.41
2007,Electronic Arts,71.33
2008,Electronic Arts,84.12
2009,Electronic Arts,86.2
2010,Electronic Arts,81.38
2011,Electronic Arts,72.25
2012,Electronic Arts,49.9
2013,Electronic Arts,52.92
2014,Electronic Arts,46.8
2015,Electronic Arts,45.42
2016,Electronic Arts,12.25
