'year','publisher','GLOBAL_SALES'
'1986','Konami Digital Entertainment','4.99'
'1987','Konami Digital Entertainment','0.93'
'1989','Konami Digital Entertainment','0.85'
'1990','Konami Digital Entertainment','2.23'
'1991','Konami Digital Entertainment','2.56'
'1992','Konami Digital Entertainment','0.26'
'1993','Konami Digital Entertainment','0.46'
'1994','Konami Digital Entertainment','1.71'
'1995','Konami Digital Entertainment','2.79'
'1996','Konami Digital Entertainment','3.88'
'1997','Konami Digital Entertainment','4.6'
'1998','Konami Digital Entertainment','15.39'
'1999','Konami Digital Entertainment','15.26'
'2000','Konami Digital Entertainment','8.47'
'2001','Konami Digital Entertainment','21.89'
'2002','Konami Digital Entertainment','12.42'
'2003','Konami Digital Entertainment','13.97'
'2004','Konami Digital Entertainment','20.2'
'2005','Konami Digital Entertainment','14.92'
'2006','Konami Digital Entertainment','14.48'
'2007','Konami Digital Entertainment','17.21'
'2008','Konami Digital Entertainment','27.82'
'2009','Konami Digital Entertainment','16.02'
'2010','Konami Digital Entertainment','18.55'
'2011','Konami Digital Entertainment','10.04'
'2012','Konami Digital Entertainment','7.97'
'2013','Konami Digital Entertainment','5.37'
'2014','Konami Digital Entertainment','5.06'
'2015','Konami Digital Entertainment','6.86'
'2016','Konami Digital Entertainment','1.21'
'N/A','Konami Digital Entertainment','5.08'

