year,publisher,GLOBAL_SALES
1984,Namco Bandai Games,3.43
1985,Namco Bandai Games,1.46
1986,Namco Bandai Games,5.28
1987,Namco Bandai Games,2.67
1988,Namco Bandai Games,2.43
1989,Namco Bandai Games,1.1
1990,Namco Bandai Games,0.63
1991,Namco Bandai Games,1.03
1992,Namco Bandai Games,1.04
1993,Namco Bandai Games,5.38
1994,Namco Bandai Games,1.72
1995,Namco Bandai Games,2.52
1996,Namco Bandai Games,3.49
1997,Namco Bandai Games,6.34
1998,Namco Bandai Games,5.86
1999,Namco Bandai Games,4.94
2000,Namco Bandai Games,9.7
2001,Namco Bandai Games,7.88
2002,Namco Bandai Games,12.98
2003,Namco Bandai Games,10.46
2004,Namco Bandai Games,5.49
2005,Namco Bandai Games,14.79
2006,Namco Bandai Games,11.7
2007,Namco Bandai Games,7.59
2008,Namco Bandai Games,10.9
2009,Namco Bandai Games,16.77
2010,Namco Bandai Games,16.41
2011,Namco Bandai Games,22.08
2012,Namco Bandai Games,15.93
2013,Namco Bandai Games,9.96
2014,Namco Bandai Games,9.63
2015,Namco Bandai Games,15.56
2016,Namco Bandai Games,6.49
