year,publisher,GLOBAL_SALES
1983,Nintendo,10.96
1984,Nintendo,45.56
1985,Nintendo,49.95
1986,Nintendo,16.18
1987,Nintendo,11.95
1988,Nintendo,36.44
1989,Nintendo,63.88
1990,Nintendo,35.49
1991,Nintendo,15.97
1992,Nintendo,38.11
1993,Nintendo,20.04
1994,Nintendo,24.99
1995,Nintendo,16.72
1996,Nintendo,73.7
1997,Nintendo,25.8
1998,Nintendo,46.58
1999,Nintendo,65.33
2000,Nintendo,34.05
2001,Nintendo,45.37
2002,Nintendo,48.31
2003,Nintendo,36.2
2004,Nintendo,60.65
2005,Nintendo,127.47
2006,Nintendo,205.61
2007,Nintendo,104.18
2008,Nintendo,91.22
2009,Nintendo,128.89
2010,Nintendo,61.07
2011,Nintendo,51.53
2012,Nintendo,56.47
2013,Nintendo,52.79
2014,Nintendo,48.65
2015,Nintendo,27.08
2016,Nintendo,3.47
