year,publisher,GLOBAL_SALES
1994,Sony Computer Entertainment,3.43
1995,Sony Computer Entertainment,18.45
1996,Sony Computer Entertainment,35.07
1997,Sony Computer Entertainment,43.9
1998,Sony Computer Entertainment,34.64
1999,Sony Computer Entertainment,36.24
2000,Sony Computer Entertainment,21.69
2001,Sony Computer Entertainment,42.73
2002,Sony Computer Entertainment,25.53
2003,Sony Computer Entertainment,24.32
2004,Sony Computer Entertainment,35.16
2005,Sony Computer Entertainment,26.38
2006,Sony Computer Entertainment,33.81
2007,Sony Computer Entertainment,37.54
2008,Sony Computer Entertainment,26.64
2009,Sony Computer Entertainment,36.34
2010,Sony Computer Entertainment,34.89
2011,Sony Computer Entertainment,27.4
2012,Sony Computer Entertainment,12.85
2013,Sony Computer Entertainment,12.61
2014,Sony Computer Entertainment,19.02
2015,Sony Computer Entertainment,11.01
2016,Sony Computer Entertainment,6.56
