year,publisher,GLOBAL_SALES
1997,Take-Two Interactive,2.72
1998,Take-Two Interactive,5.34
1999,Take-Two Interactive,1.68
2000,Take-Two Interactive,6.03
2001,Take-Two Interactive,20.43
2002,Take-Two Interactive,20.29
2003,Take-Two Interactive,10.57
2004,Take-Two Interactive,24.11
2005,Take-Two Interactive,26.29
2006,Take-Two Interactive,20.59
2007,Take-Two Interactive,19.64
2008,Take-Two Interactive,45.86
2009,Take-Two Interactive,18.64
2010,Take-Two Interactive,35.84
2011,Take-Two Interactive,17.7
2012,Take-Two Interactive,21.58
2013,Take-Two Interactive,52.41
2014,Take-Two Interactive,30.26
2015,Take-Two Interactive,15.03
2016,Take-Two Interactive,2.89
